denseSize,learningRate,batchSize,tokenizerMaxLen,FGLoss,FGAccuracy,FGPrecision,FGRecall,FGF1Micro,FGF1Macro,CGAccuracy,CGPrecision,CGRecall,CGF1
512,1e-05,64,10,0.9097836017608643,0.6576879620552063,0.739130437374115,0.5533108711242676,0.6328625679016113,0.23124992847442627,0.6823793490460157,0.9318181818181818,0.22841225626740946,0.3668903803131991
128,0.0005,16,15,0.7013817429542542,0.7340067625045776,0.7815789580345154,0.6666666865348816,0.719563901424408,0.47140371799468994,0.8316498316498316,0.8275862068965517,0.7353760445682451,0.7787610619469028
256,5e-05,32,15,0.6799856424331665,0.7643097639083862,0.8142856955528259,0.7037037014961243,0.7549669146537781,0.5131142139434814,0.8372615039281706,0.8639455782312925,0.7075208913649025,0.7779479326186831
512,0.0005,64,35,0.5408427715301514,0.8170594573020935,0.8476190567016602,0.7991021275520325,0.822645902633667,0.6812419295310974,0.8832772166105499,0.909967845659164,0.7883008356545961,0.844776119402985
128,1e-05,32,40,0.808271050453186,0.665544331073761,0.7984496355056763,0.5780022740364075,0.6705729365348816,0.28358083963394165,0.7362514029180696,0.8604651162790697,0.41225626740947074,0.5574387947269303
64,0.0001,64,20,0.6042917966842651,0.7800224423408508,0.8297331929206848,0.732884407043457,0.7783075571060181,0.5525705814361572,0.8540965207631874,0.8681672025723473,0.7520891364902507,0.8059701492537312
512,0.001,16,20,0.578981876373291,0.7923681139945984,0.8241758346557617,0.7575757503509521,0.7894737124443054,0.5849912762641907,0.8529741863075196,0.8958333333333334,0.7186629526462396,0.7975270479134468
64,0.001,128,40,0.5186699628829956,0.8372614979743958,0.8539719581604004,0.8204264640808105,0.8368631601333618,0.7309421300888062,0.8900112233445566,0.9116719242902208,0.8050139275766016,0.8550295857988165
128,0.0005,32,25,0.5711552500724792,0.7923681139945984,0.8364083766937256,0.7631874084472656,0.7981221079826355,0.597419023513794,0.8608305274971941,0.8660436137071651,0.7743732590529248,0.8176470588235294
256,0.0001,16,15,0.7012335658073425,0.744107723236084,0.7891414165496826,0.7014590501785278,0.7427213191986084,0.5449231863021851,0.8237934904601572,0.8079268292682927,0.7381615598885793,0.7714701601164482
64,1e-05,64,20,0.9710260033607483,0.5993266105651855,0.678911566734314,0.5600448846817017,0.6137761473655701,0.19692185521125793,0.6015712682379349,1.0,0.011142061281337047,0.02203856749311295
256,0.001,16,10,0.7951850295066833,0.7059483528137207,0.7506393790245056,0.6588103175163269,0.701733410358429,0.43109452724456787,0.7564534231200898,0.8585858585858586,0.4735376044568245,0.6104129263913824
512,0.0005,64,40,0.5251047015190125,0.8013467788696289,0.833737850189209,0.7710437774658203,0.8011661767959595,0.6364849805831909,0.8686868686868687,0.8689024390243902,0.7938718662952646,0.8296943231441049
512,0.001,128,30,0.5419287085533142,0.7979797720909119,0.8311218619346619,0.7732884287834167,0.8011627793312073,0.650412917137146,0.8765432098765432,0.8629737609329446,0.8245125348189415,0.8433048433048432
256,0.0005,32,30,0.5217066407203674,0.8181818127632141,0.8440476059913635,0.7957351207733154,0.8191796541213989,0.6724385619163513,0.8787878787878788,0.9061488673139159,0.7799442896935933,0.8383233532934131
256,5e-05,16,15,0.6711728572845459,0.7631874084472656,0.8171206116676331,0.7070707082748413,0.7581227421760559,0.5247848033905029,0.8395061728395061,0.8506493506493507,0.7298050139275766,0.785607196401799
64,0.001,128,15,0.6925744414329529,0.7598204016685486,0.7915632724761963,0.7160493731498718,0.7519150972366333,0.5162419676780701,0.8249158249158249,0.8487972508591065,0.6880222841225627,0.7600000000000001
512,0.0005,32,25,0.5850709676742554,0.7912458181381226,0.8248175382614136,0.7609427571296692,0.7915936708450317,0.5533882975578308,0.8473625140291807,0.9207547169811321,0.6796657381615598,0.782051282051282
512,0.0005,32,25,0.6139842867851257,0.7755330801010132,0.8189986944198608,0.7160493731498718,0.7640718221664429,0.5293827652931213,0.8540965207631874,0.8681672025723473,0.7520891364902507,0.8059701492537312
128,0.0005,32,10,0.7811689376831055,0.7093153595924377,0.7506393790245056,0.6588103175163269,0.701733410358429,0.45769423246383667,0.7867564534231201,0.8050541516245487,0.6211699164345403,0.7012578616352201
256,0.001,128,30,0.5416248440742493,0.8125701546669006,0.8421686887741089,0.7845118045806885,0.8123184442520142,0.6662607192993164,0.8709315375982043,0.8986928104575164,0.766016713091922,0.8270676691729324
512,0.0001,128,20,0.6210602521896362,0.7710437774658203,0.8111533522605896,0.7182940244674683,0.761904776096344,0.5189087986946106,0.8552188552188552,0.8733766233766234,0.7493036211699164,0.8065967016491754
64,0.001,16,40,0.534270703792572,0.8193041682243347,0.8352941274642944,0.796857476234436,0.8156232237815857,0.6392654180526733,0.8754208754208754,0.9246575342465754,0.7520891364902507,0.8294930875576035
512,0.001,32,35,0.5721070766448975,0.8013467788696289,0.8275449275970459,0.7755330801010132,0.8006952404975891,0.6236119866371155,0.8754208754208754,0.8780487804878049,0.8022284122562674,0.8384279475982532
256,0.0001,32,20,0.6051936745643616,0.7721661329269409,0.8354755640029907,0.72951740026474,0.7789095640182495,0.5518313050270081,0.8451178451178452,0.8576051779935275,0.7381615598885793,0.7934131736526947
64,5e-05,16,15,0.6826764941215515,0.7530864477157593,0.7891492247581482,0.7182940244674683,0.7520564198493958,0.49655666947364807,0.8294051627384961,0.8847583643122676,0.6629526462395543,0.7579617834394904
512,0.0005,32,20,0.6186336874961853,0.7654321193695068,0.832446813583374,0.7025813460350037,0.7620206475257874,0.5186803340911865,0.8395061728395061,0.8698630136986302,0.7075208913649025,0.7803379416282642
256,0.0005,64,25,0.5442540049552917,0.8013467788696289,0.8473945260047913,0.7665544152259827,0.804949939250946,0.6300191879272461,0.8742985409652076,0.8996763754045307,0.7743732590529248,0.8323353293413173
64,0.001,64,35,0.5400900840759277,0.8092031478881836,0.8333333134651184,0.7800224423408508,0.8057971000671387,0.5820968151092529,0.8832772166105499,0.8923076923076924,0.807799442896936,0.847953216374269
512,0.001,32,20,0.5998755693435669,0.790123462677002,0.8228155374526978,0.7609427571296692,0.7906705141067505,0.5871201157569885,0.8641975308641975,0.8695652173913043,0.7799442896935933,0.8223201174743024
64,0.0005,16,15,0.6667923927307129,0.7586981058120728,0.8045685291290283,0.711560070514679,0.7552115321159363,0.5192176103591919,0.8316498316498316,0.8542372881355932,0.7019498607242339,0.7706422018348624
512,0.0001,16,10,0.7819252014160156,0.7070707082748413,0.7586206793785095,0.6666666865348816,0.7096774578094482,0.49643415212631226,0.7901234567901234,0.7885906040268457,0.6545961002785515,0.7153729071537291
64,1e-05,128,15,0.9922803044319153,0.5982042551040649,0.692307710647583,0.5454545617103577,0.610169529914856,0.19692058861255646,0.6015712682379349,0.7,0.019498607242339833,0.037940379403794036
512,0.0005,64,15,0.7211482524871826,0.7396184206008911,0.787451982498169,0.6902356743812561,0.7356458902359009,0.5099873542785645,0.8249158249158249,0.7959183673469388,0.7604456824512534,0.7777777777777778
64,0.001,128,25,0.5535072684288025,0.7923681139945984,0.8310893774032593,0.7620651125907898,0.7950820326805115,0.6077467203140259,0.8585858585858586,0.8844884488448845,0.7465181058495822,0.8096676737160121
128,1e-05,64,40,0.8726711869239807,0.6498316526412964,0.7737705111503601,0.5297418832778931,0.6289141178131104,0.20665499567985535,0.7014590347923682,0.918918918918919,0.2841225626740947,0.4340425531914893
512,0.0005,32,20,0.6032078266143799,0.7878788113594055,0.8245614171028137,0.7384960651397705,0.7791593074798584,0.5332231521606445,0.8597081930415263,0.9119718309859155,0.7214484679665738,0.8055987558320372
256,5e-05,32,25,0.5894978046417236,0.7811447978019714,0.8193224668502808,0.732884407043457,0.7736966609954834,0.5312365293502808,0.8597081930415263,0.89,0.7437325905292479,0.8103186646433991
128,0.0001,128,35,0.5841196775436401,0.7721661329269409,0.8209331631660461,0.7306397557258606,0.7731592059135437,0.5307055115699768,0.8484848484848485,0.8809523809523809,0.7214484679665738,0.7932618683001532
