learningRate,batchSize,seed,FGLoss,FGAccuracy,FGPrecision,FGRecall,FGF1Micro,FGF1Macro,CGAccuracy,CGPrecision,CGRecall,CGF1
0.0003650221087657169,103,87,0.6911795735359192,0.7429854273796082,0.8179271817207336,0.6554433107376099,0.7277258634567261,0.5111652612686157,0.8383838383838383,0.8745644599303136,0.6991643454038997,0.7770897832817337
0.00043742736607337176,107,90,0.7018892168998718,0.726150393486023,0.8114525079727173,0.6520763039588928,0.7230864763259888,0.48092758655548096,0.8282828282828283,0.8814814814814815,0.6629526462395543,0.7567567567567567
0.0001190882600828463,96,53,0.6974380016326904,0.7317620515823364,0.8188302516937256,0.6442199945449829,0.7211055755615234,0.4730566143989563,0.8327721661054994,0.8595890410958904,0.6991643454038997,0.771121351766513
0.0001451278164040554,66,78,0.7138910889625549,0.7272727489471436,0.81232088804245,0.6363636255264282,0.7136564254760742,0.4607276916503906,0.8294051627384961,0.8791208791208791,0.6685236768802229,0.7594936708860758
0.0006032277587120068,103,5,0.6813037395477295,0.72951740026474,0.8135359287261963,0.6610549688339233,0.729411780834198,0.5290607810020447,0.8417508417508418,0.8516129032258064,0.7353760445682451,0.7892376681614349
0.0007460913020317715,24,11,0.6839683651924133,0.7362514138221741,0.800000011920929,0.6734007000923157,0.7312614321708679,0.5191052556037903,0.8417508417508418,0.8516129032258064,0.7353760445682451,0.7892376681614349
0.000672610611548627,80,54,0.6743433475494385,0.7384960651397705,0.8131101727485657,0.654321014881134,0.7251243591308594,0.49897870421409607,0.8473625140291807,0.8585209003215434,0.7437325905292479,0.7970149253731342
0.0004759824998248319,64,73,0.6805152297019958,0.744107723236084,0.8059298992156982,0.6711559891700745,0.7323943972587585,0.5044543743133545,0.8395061728395061,0.8829787234042553,0.6935933147632312,0.7769110764430576
0.0006479107017186962,78,25,0.7012088894844055,0.7362514138221741,0.830633282661438,0.6329966187477112,0.7184712886810303,0.4802621006965637,0.8406285072951739,0.8703071672354948,0.7103064066852368,0.7822085889570553
0.0007930391011453644,56,95,0.6787225604057312,0.7418630719184875,0.8439821600914001,0.6374859809875488,0.7263426780700684,0.5054483413696289,0.8361391694725028,0.8338557993730408,0.7409470752089137,0.784660766961652
8.636479262161248e-05,105,28,0.7174943685531616,0.7306397557258606,0.8091822266578674,0.6329966187477112,0.7103274464607239,0.4570901393890381,0.8338945005611672,0.8864468864468864,0.6740947075208914,0.7658227848101266
